9.1.3 CONCLUSÃO POR CICLO,,
Unidade,Ano,Concluintes
Campus Almenara,2018,481
,2019,299
,2020,247
,2021,164
,2022,242
Campus Araçuaí,2018,371
,2019,388
,2020,271
,2021,212
,2022,249
Campus Arinos,2018,174
,2019,261
,2020,365
,2021,240
,2022,300
Campus Avançado Janaúba,2018,217
,2019,351
,2020,814
,2021,305
,2022,366
Campus Avançado Porteirinha,2018,301
,2019,224
,2020,659
,2021,301
,2022,139
Campus Diamantina,2018,103
,2019,83
,2020,1.533
,2021,1.390
,2022,340
Campus Januária,2018,551
,2019,338
,2020,417
,2021,541
,2022,545
Campus Montes Claros,2018,623
,2019,335
,2020,1.001
,2021,206
,2022,243
Campus Pirapora,2018,250
,2019,318
,2020,201
,2021,303
,2022,547
Campus Salinas,2018,157
,2019,311
,2020,331
,2021,294
,2022,349
Campus Teófilo Otoni,2018,162
,2019,119
,2020,56
,2021,223
,2022,425
Centro de Referência Corinto,2018,1
,2019,-
,2020,87
,2021,69
,2022,97
Centro de Referência em Educação a Distância,2018,443
,2019,1.056
,2020,2.982
,2021,385
,2022,5
TOTAL IFNMG,2018,3.834
,2019,4.083
,2020,8.964
,2021,4.633
,2022,3.847
