9.1.4 EFICIÊNCIA ACADÊMICA POR CICLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,2019,,,,,,2020,,,,,,2021,,,,,,2022,,,,,
Unidade,Tipo de Curso,Eficiência Acadêmica,Conclusão Ciclo %,Evasão Ciclo %,Unidade,Tipo de Curso,Eficiência Acadêmica,Conclusão Ciclo %,Evasão Ciclo %,Retenção Ciclo %,Unidade,Tipo de Curso,Eficiência Acadêmica,Conclusão Ciclo %,Evasão Ciclo %,Retenção Ciclo %,Unidade,Tipo de Curso,Eficiência Acadêmica,Conclusão Ciclo %,Evasão Ciclo %,Retenção Ciclo %,Unidade,Tipo de Curso,Eficiência Acadêmica,Conclusão Ciclo %,Evasão Ciclo %,Retenção Ciclo %
Campus Almenara,Qualificação Profissional (FIC),"50,00%","50,00%","50,00%",Campus Almenara,Qualificação Profissional (FIC),"87,30%","87,29%","12,71%",(Em branco),Campus Almenara,Bacharelado,"84,80%","84,78%","15,22%",(Em branco),Campus Almenara,Bacharelado,"47,20%","47,22%","52,78%",(Em branco),Campus Almenara,Bacharelado,"31,30%","26,92%","58,97%","14,10%"
,Técnico,"39,40%","39,20%","60,34%",,Técnico,"58,10%","57,34%","41,28%","1,38%",,Qualificação Profissional (FIC),"50,00%","50,00%","50,00%",(Em branco),,Qualificação Profissional (FIC),"47,50%","47,45%","52,55%",(Em branco),,Qualificação Profissional (FIC),"48,00%","48,00%","52,00%",(Em branco)
,Tecnologia,"20,00%","15,63%","62,50%",,Tecnologia,"37,70%","28,57%","47,14%","24,29%",,Técnico,"70,20%","65,22%","27,67%","7,11%",,Técnico,"47,80%","47,57%","51,89%","0,54%",,Técnico,"72,90%","71,92%","26,71%","1,37%"
Campus Araçuaí,Bacharelado,"51,50%","40,48%","38,10%",Campus Araçuaí,Bacharelado,"55,90%","44,19%","34,88%","20,93%",,Tecnologia,"20,30%","13,13%","51,52%","35,35%",,Tecnologia,"45,50%","41,67%","50,00%","8,33%",,Tecnologia,"7,80%","5,94%","70,30%","23,76%"
,Qualificação Profissional (FIC),"97,30%","97,26%","2,74%",,Qualificação Profissional (FIC),"45,20%","45,24%","54,76%",(Em branco),Campus Araçuaí,Bacharelado,"38,10%","21,05%","34,21%","44,74%",Campus Araçuaí,Bacharelado,"53,60%","34,09%","29,55%","36,36%",Campus Araçuaí,Bacharelado,"39,30%","24,44%","37,78%","37,78%"
,Técnico,"42,40%","42,15%","57,21%",,Técnico,"73,50%","72,16%","26,01%","1,83%",,Qualificação Profissional (FIC),"67,50%","67,52%","32,48%",(Em branco),,Qualificação Profissional (FIC),"48,90%","48,86%","51,14%",(Em branco),,Qualificação Profissional (FIC),"14,40%","14,44%","85,56%",(Em branco)
,Tecnologia,"45,20%","43,18%","52,27%",,Tecnologia,"51,50%","44,74%","42,11%","13,16%",,Técnico,"77,20%","74,57%","21,98%","3,45%",,Técnico,"76,30%","67,44%","20,93%","11,63%",,Técnico,"75,60%","70,54%","22,77%","6,70%"
Campus Arinos,Bacharelado,"56,80%","48,84%","37,21%",Campus Arinos,Bacharelado,(Em branco),(Em branco),"28,85%","71,15%",,Tecnologia,"31,70%","26,39%","56,94%","16,67%",,Tecnologia,(Em branco),(Em branco),"46,34%","53,66%",,Tecnologia,"7,10%","5,13%","66,67%","28,21%"
,Técnico,"44,20%","44,20%","55,80%",,Técnico,"51,50%","50,83%","47,92%","1,25%",Campus Arinos,Bacharelado,"45,00%","34,50%","42,11%","23,39%",Campus Arinos,Bacharelado,"25,30%","20,00%","58,95%","21,05%",Campus Arinos,Bacharelado,"28,40%","17,56%","44,27%","38,17%"
,Tecnologia,"18,20%","14,29%","64,29%",,Tecnologia,"22,40%","17,57%","60,81%","21,62%",,Qualificação Profissional (FIC),"37,40%","37,36%","62,64%",(Em branco),,Qualificação Profissional (FIC),"39,50%","39,55%","60,45%",(Em branco),,Qualificação Profissional (FIC),"63,50%","63,46%","36,54%",(Em branco)
