9.1.5 RETENÇÃO POR CICLO,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,2019,,,,,2020,,,,,2021,,,,,2022,,,,
Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas,Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas,Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas,Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas,Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas
Campus Almenara,Concluintes,Concluída,Em fluxo,465,Campus Almenara,Concluintes,Concluída,Em fluxo,293,Campus Almenara,Concluintes,Concluída,Em fluxo,247,Campus Almenara,Concluintes,Concluída,Em fluxo,163,Campus Almenara,Concluintes,Concluída,Em fluxo,242
,Concluintes,Integralizada,Em fluxo,16,,Concluintes,Integralizada,Em fluxo,6,,Concluintes,Integralizada,Em fluxo,(Em branco),,Concluintes,Integralizada,Em fluxo,1,,Concluintes,Integralizada,Em fluxo,(Em branco)
,Em curso,Em curso,Em fluxo,754,,Em curso,Em curso,Em fluxo,620,,Em curso,Em curso,Em fluxo,765,,Em curso,Em curso,Em fluxo,936,,Em curso,Em curso,Em fluxo,872
,Em curso,Em curso,Retido,81,,Em curso,Em curso,Retido,110,,Em curso,Em curso,Retido,169,,Em curso,Em curso,Retido,166,,Em curso,Em curso,Retido,350
,Evadidos,Abandono,Em fluxo,190,,Evadidos,Abandono,Em fluxo,181,,Evadidos,Abandono,Em fluxo,61,,Evadidos,Abandono,Em fluxo,16,,Evadidos,Abandono,Em fluxo,60
,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Desligada,Em fluxo,20
,Evadidos,Desligada,Em fluxo,19,,Evadidos,Desligada,Em fluxo,34,,Evadidos,Desligada,Em fluxo,15,,Evadidos,Desligada,Em fluxo,1,,Evadidos,Reprovado,Em fluxo,85
,Evadidos,Reprovado,Em fluxo,57,,Evadidos,Reprovado,Em fluxo,(Em branco),,Evadidos,Reprovado,Em fluxo,192,,Evadidos,Reprovado,Em fluxo,14,,Evadidos,Transf. externa,Em fluxo,15
,Evadidos,Transf. externa,Em fluxo,16,,Evadidos,Transf. externa,Em fluxo,29,,Evadidos,Transf. externa,Em fluxo,13,,Evadidos,Transf. externa,Em fluxo,4,,Evadidos,Transf. interna,Em fluxo,(Em branco)
Campus Araçuaí,Concluintes,Concluída,Em fluxo,304,,Evadidos,Transf. interna,Em fluxo,(Em branco),Campus Araçuaí,Concluintes,Concluída,Em fluxo,266,,Evadidos,Transf. interna,Em fluxo,(Em branco),Campus Araçuaí,Concluintes,Concluída,Em fluxo,206
