9.1.6 MATRÍCULA/PROFESSOR,,,,,,,,,,,,,,,,,,,
2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
Unidade,RAP,Matrículas Equivalentes - RAP,Professor Equivalente,Unidade,RAP,Matrículas Equivalentes - RAP,Professor Equivalente,Unidade,RAP,Matrículas Equivalentes - RAP,Professor Equivalente,Unidade,RAP,Matrículas Equivalentes - RAP,Professor Equivalente,Unidade,RAP,Matrículas Equivalentes - RAP,Professor Equivalente
Campus Almenara,"26,71","1.335,68",50,Campus Almenara,"24,27","1.335,05",55,Campus Almenara,"25,4","1.371,75",54,Campus Almenara,"24,33","1.313,63",54,Campus Almenara,"28,69","1.520,60",53
Campus Araçuaí,"25,34","1.393,49",55,Campus Araçuaí,"22,14","1.284,00",58,Campus Araçuaí,"25,48","1.477,78",58,Campus Araçuaí,"26,79","1.526,91",57,Campus Araçuaí,"29,25","1.637,99",56
Campus Arinos,"28,23","1.608,84",57,Campus Arinos,"32,82","1.936,31",59,Campus Arinos,"32,2","1.867,80",58,Campus Arinos,"27,88","1.617,19",58,Campus Arinos,"32,95","1.911,27",58
Campus Avançado Janaúba,"30,26","484,12",16,Campus Avançado Janaúba,"27,25","490,58",18,Campus Avançado Janaúba,"36,07","685,28",19,Campus Avançado Janaúba,"27,7","526,28",19,Campus Avançado Janaúba,"30,39","577,33",19
Campus Avançado Porteirinha,"41,29","495,47",12,Campus Avançado Porteirinha,"73,13","950,65",13,Campus Avançado Porteirinha,"68,81","1.032,16",15,Campus Avançado Porteirinha,"81,88","1.310,13",16,Campus Avançado Porteirinha,"65,61","984,21",15
Campus Diamantina,"14,66","322,5",22,Campus Diamantina,"28,82","835,69",29,Campus Diamantina,"53,35","1.547,09",29,Campus Diamantina,"91,75","2.660,78",29,Campus Diamantina,"36,97","1.072,05",29
Campus Januária,"23,74","3.465,81",146,Campus Januária,"26,27","3.677,79",140,Campus Januária,"26,67","3.653,76",137,Campus Januária,"25,02","3.452,78",138,Campus Januária,"25,11","3.439,79",137
Campus Montes Claros,"23,65","1.702,88",72,Campus Montes Claros,"25,34","1.824,15",72,Campus Montes Claros,"22,49","1.664,21",74,Campus Montes Claros,"22,58","1.648,55",73,Campus Montes Claros,"23,59","1.816,05",77
Campus Pirapora,"30,56","1.833,73",60,Campus Pirapora,"47,46","2.610,34",55,Campus Pirapora,"47,87","2.680,49",56,Campus Pirapora,"38,16","2.213,48",58,Campus Pirapora,"53,01","2.862,67",54
Campus Salinas,"19,45","2.197,57",113,Campus Salinas,"20,43","2.308,18",113,Campus Salinas,"23,65","2.743,02",116,Campus Salinas,"22,02","2.487,96",113,Campus Salinas,"22,81","2.577,83",113
Campus Teófilo Otoni,"26,82","616,9",23,Campus Teófilo Otoni,"39,87","1.076,52",27,Campus Teófilo Otoni,"45,46","1.318,21",29,Campus Teófilo Otoni,"41,46","1.243,83",30,Campus Teófilo Otoni,"49,99","1.449,68",29
Centro de Referência Corinto,(Em branco),"267,4",(Em branco),Centro de Referência Corinto,(Em branco),"470,4",(Em branco),Centro de Referência Corinto,(Em branco),"504,06",(Em branco),Centro de Referência Corinto,(Em branco),"236,87",(Em branco),Centro de Referência Corinto,(Em branco),"355,47",(Em branco)
Centro de Referência em Educação a Distância,(Em branco),"2.006,83",(Em branco),Centro de Referência em Educação a Distância,"415,12","2.490,70",6,Centro de Referência em Educação a Distância,"268,83","2.419,43",9,Centro de Referência em Educação a Distância,"85,92","515,52",6,Centro de Referência em Educação a Distância,"57,74","346,43",6
IFNMG,"28,32","17.731,20",626,IFNMG,"33,01","21.290,34",645,IFNMG,"35,11","22.965,03",654,IFNMG,"31,88","20.753,93",651,IFNMG,"31,81","20.551,37",646
