9.1.7 TITULAÇÃO DOCENTE,,,,,,,,,,,,,,,,,,,
2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes
Campus Almenara,Doutorado,20h,(Em branco),Campus Almenara,Doutorado,20h,(Em branco),Campus Almenara,Doutorado,20h,(Em branco),Campus Almenara,Doutorado,20h,(Em branco),Campus Almenara,Doutorado,20h,(Em branco)
,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,20h,(Em branco)
,Graduação,20h,(Em branco),,Graduação,20h,(Em branco),,Graduação,20h,(Em branco),,Graduação,20h,(Em branco),,Graduação,20h,(Em branco)
,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco)
,Doutorado,40h,1,,Doutorado,40h,1,,Doutorado,40h,1,,Doutorado,40h,1,,Doutorado,40h,4
,Especialização,40h,3,,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Especialização,40h,3
,Graduação,40h,6,,Graduação,40h,6,,Graduação,40h,6,,Graduação,40h,5,,Graduação,40h,2
,Mestrado,40h,1,,Mestrado,40h,(Em branco),,Mestrado,40h,(Em branco),,Mestrado,40h,2,,Mestrado,40h,1
,Doutorado,DE,12,,Doutorado,DE,22,,Doutorado,DE,25,,Doutorado,DE,23,,Doutorado,DE,23
,Especialização,DE,9,,Especialização,DE,3,,Especialização,DE,4,,Especialização,DE,3,,Especialização,DE,3
,Graduação,DE,(Em branco),,Graduação,DE,(Em branco),,Graduação,DE,(Em branco),,Graduação,DE,(Em branco),,Graduação,DE,(Em branco)
,Mestrado,DE,29,,Mestrado,DE,30,,Mestrado,DE,25,,Mestrado,DE,28,,Mestrado,DE,27
Campus Araçuaí,Doutorado,20h,(Em branco),Campus Araçuaí,Doutorado,20h,(Em branco),Campus Araçuaí,Doutorado,20h,(Em branco),Campus Araçuaí,Doutorado,20h,(Em branco),Campus Araçuaí,Doutorado,20h,(Em branco)
,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,20h,(Em branco)
,Graduação,20h,(Em branco),,Graduação,20h,(Em branco),,Graduação,20h,1,,Graduação,20h,(Em branco),,Graduação,20h,(Em branco)
,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco)
,Doutorado,40h,(Em branco),,Doutorado,40h,(Em branco),,Doutorado,40h,1,,Doutorado,40h,2,,Doutorado,40h,4
,Especialização,40h,3,,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Especialização,40h,(Em branco)
,Graduação,40h,5,,Graduação,40h,10,,Graduação,40h,8,,Graduação,40h,4,,Graduação,40h,4
,Mestrado,40h,(Em branco),,Mestrado,40h,(Em branco),,Mestrado,40h,(Em branco),,Mestrado,40h,1,,Mestrado,40h,(Em branco)
,Doutorado,DE,6,,Doutorado,DE,11,,Doutorado,DE,12,,Doutorado,DE,18,,Doutorado,DE,16
,Especialização,DE,10,,Especialização,DE,7,,Especialização,DE,6,,Especialização,DE,5,,Especialização,DE,3
,Graduação,DE,7,,Graduação,DE,2,,Graduação,DE,1,,Graduação,DE,1,,Graduação,DE,1
,Mestrado,DE,32,,Mestrado,DE,38,,Mestrado,DE,39,,Mestrado,DE,33,,Mestrado,DE,36
Campus Arinos,Doutorado,20h,(Em branco),Campus Arinos,Doutorado,20h,(Em branco),Campus Arinos,Doutorado,20h,(Em branco),Campus Arinos,Doutorado,20h,(Em branco),Campus Arinos,Doutorado,20h,(Em branco)
,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,20h,(Em branco)
,Graduação,20h,(Em branco),,Graduação,20h,(Em branco),,Graduação,20h,1,,Graduação,20h,1,,Graduação,20h,(Em branco)
,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco)
,Doutorado,40h,1,,Doutorado,40h,(Em branco),,Doutorado,40h,1,,Doutorado,40h,2,,Doutorado,40h,3
,Especialização,40h,3,,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Especialização,40h,4
,Graduação,40h,5,,Graduação,40h,9,,Graduação,40h,7,,Graduação,40h,4,,Graduação,40h,1
,Mestrado,40h,4,,Mestrado,40h,(Em branco),,Mestrado,40h,(Em branco),,Mestrado,40h,2,,Mestrado,40h,3
,Doutorado,DE,6,,Doutorado,DE,10,,Doutorado,DE,14,,Doutorado,DE,14,,Doutorado,DE,16
,Especialização,DE,16,,Especialização,DE,11,,Especialização,DE,8,,Especialização,DE,8,,Especialização,DE,7
,Graduação,DE,3,,Graduação,DE,(Em branco),,Graduação,DE,(Em branco),,Graduação,DE,(Em branco),,Graduação,DE,(Em branco)
,Mestrado,DE,32,,Mestrado,DE,38,,Mestrado,DE,36,,Mestrado,DE,36,,Mestrado,DE,35
